REF_DATE,GEO,DGUID,VECTOR,COORDINATE,Population estimate
1956-01-01,Alberta,2016A000248,v15,10,1109000
1956-01-01,British Columbia,2016A000259,v3,11,1377000
1956-01-01,Yukon,2016A000260,v4,12,12000
1956-01-01,Northwest Territories including Nunavut,,v5,13,18000
1956-04-01,Canada,2016A000011124,v1,1,16004000
1956-04-01,Newfoundland and Labrador,2016A000210,v2,2,414000
1956-04-01,Prince Edward Island,2016A000211,v8,3,99000
1956-04-01,Nova Scotia,2016A000212,v9,4,693000
1956-04-01,New Brunswick,2016A000213,v10,5,553000
1956-04-01,Quebec,2016A000224,v11,6,4606000
1956-04-01,Ontario,2016A000235,v12,7,5375000
1956-04-01,Manitoba,2016A000246,v13,8,848000
1956-04-01,Saskatchewan,2016A000247,v14,9,879000
1956-04-01,Alberta,2016A000248,v15,10,1118000
1956-04-01,British Columbia,2016A000259,v3,11,1388000
1956-04-01,Yukon,2016A000260,v4,12,12000
1956-04-01,Northwest Territories including Nunavut,,v5,13,19000
1956-07-01,Canada,2016A000011124,v1,1,16123000
1956-07-01,Newfoundland and Labrador,2016A000210,v2,2,416000
1956-07-01,Prince Edward Island,2016A000211,v8,3,99000
1956-07-01,Nova Scotia,2016A000212,v9,4,695000
1956-07-01,New Brunswick,2016A000213,v10,5,556000
1956-07-01,Quebec,2016A000224,v11,6,4641000
1956-07-01,Ontario,2016A000235,v12,7,5423000
1956-07-01,Manitoba,2016A000246,v13,8,850000
1956-07-01,Saskatchewan,2016A000247,v14,9,881000
1956-07-01,Alberta,2016A000248,v15,10,1126000
1956-07-01,British Columbia,2016A000259,v3,11,1405000
1956-07-01,Yukon,2016A000260,v4,12,12000
1956-07-01,Northwest Territories including Nunavut,,v5,13,19000
1956-10-01,Canada,2016A000011124,v1,1,16235000
1956-10-01,Newfoundland and Labrador,2016A000210,v2,2,418000
1956-10-01,Prince Edward Island,2016A000211,v8,3,99000
1956-10-01,Nova Scotia,2016A000212,v9,4,695000
1956-10-01,New Brunswick,2016A000213,v10,5,557000
1956-10-01,Quebec,2016A000224,v11,6,4671000
1956-10-01,Ontario,2016A000235,v12,7,5470000
1956-10-01,Manitoba,2016A000246,v13,8,852000
1956-10-01,Saskatchewan,2016A000247,v14,9,880000
1956-10-01,Alberta,2016A000248,v15,10,1136000
1956-10-01,British Columbia,2016A000259,v3,11,1426000
1956-10-01,Yukon,2016A000260,v4,12,12000
1956-10-01,Northwest Territories including Nunavut,,v5,13,19000
1957-01-01,Canada,2016A000011124,v1,1,16352000
1957-01-01,Newfoundland and Labrador,2016A000210,v2,2,420000
1957-01-01,Prince Edward Island,2016A000211,v8,3,99000
1957-01-01,Nova Scotia,2016A000212,v9,4,695000
1957-01-01,New Brunswick,2016A000213,v10,5,558000
1957-01-01,Quebec,2016A000224,v11,6,4702000
1957-01-01,Ontario,2016A000235,v12,7,5529000
1957-01-01,Manitoba,2016A000246,v13,8,851000
1957-01-01,Saskatchewan,2016A000247,v14,9,874000
1957-01-01,Alberta,2016A000248,v15,10,1144000
1957-01-01,British Columbia,2016A000259,v3,11,1449000
1957-01-01,Yukon,2016A000260,v4,12,12000
1957-01-01,Northwest Territories including Nunavut,,v5,13,19000
1957-04-01,Canada,2016A000011124,v1,1,16479000
1957-04-01,Newfoundland and Labrador,2016A000210,v2,2,422000
1957-04-01,Prince Edward Island,2016A000211,v8,3,99000
1957-04-01,Nova Scotia,2016A000212,v9,4,698000
1957-04-01,New Brunswick,2016A000213,v10,5,560000
1957-04-01,Quebec,2016A000224,v11,6,4737000
1957-04-01,Ontario,2016A000235,v12,7,5580000
1957-04-01,Manitoba,2016A000246,v13,8,856000
1957-04-01,Saskatchewan,2016A000247,v14,9,875000
1957-04-01,Alberta,2016A000248,v15,10,1153000
1957-04-01,British Columbia,2016A000259,v3,11,1468000
1957-04-01,Yukon,2016A000260,v4,12,12000
1957-04-01,Northwest Territories including Nunavut,,v5,13,19000
1957-07-01,Canada,2016A000011124,v1,1,16677000
1957-07-01,Newfoundland and Labrador,2016A000210,v2,2,425000
1957-07-01,Prince Edward Island,2016A000211,v8,3,99000
1957-07-01,Nova Scotia,2016A000212,v9,4,701000
1957-07-01,New Brunswick,2016A000213,v10,5,563000
1957-07-01,Quebec,2016A000224,v11,6,4786000
1957-07-01,Ontario,2016A000235,v12,7,5668000
1957-07-01,Manitoba,2016A000246,v13,8,863000
1957-07-01,Saskatchewan,2016A000247,v14,9,882000
